hour,percentStayed,nextPickupAtAirport,nextPickupElsewhere,averageMinutesWait
12 AM,0.538461538,7,6,183.6679487
1 AM,0.5,1,1,127.5
2 AM,0.333333333,1,2,186
3 AM,0.153846154,2,11,182.825641
4 AM,0.049180328,3,58,155.9726776
5 AM,0.234177215,37,121,95.05833333
6 AM,0.335329341,56,111,73.37305389
7 AM,0.490322581,76,79,71.8816129
8 AM,0.543046358,82,69,78.83013245
9 AM,0.528735632,46,41,90.43275862
10 AM,0.428571429,39,52,86.72087912
11 AM,0.523364486,56,51,78.23909657
12 PM,0.577777778,78,57,64.24765432
1 PM,0.719512195,118,46,52.61412602
2 PM,0.721189591,194,75,52.42862454
3 PM,0.564189189,167,129,62.43597973
4 PM,0.529411765,117,104,64.50927602
5 PM,0.804232804,152,37,40.83959436
6 PM,0.84137931,122,23,28.62850575
7 PM,0.877697842,122,17,24.09556355
8 PM,0.797752809,71,18,27.74925094
9 PM,0.720930233,31,12,55.7627907
10 PM,0.558823529,19,15,31.97696078
11 PM,0.8,8,2,4.734999999
